Libelle_departement,predicted_party2024,La France insoumise,Les Rï¿½publicains,Rassemblement National,Renaissance,Union populaire rï¿½publicaine
ain,Renaissance,0.0,0.04,0.24,0.72,0.0
aisne,Rassemblement National,0.01,0.0,0.97,0.02,0.0
corse-du-sud,Rassemblement National,0.02,0.01,0.86,0.11,0.0
haute-corse,Rassemblement National,0.0,0.01,0.93,0.06,0.0
allier,Rassemblement National,0.0,0.0,0.75,0.25,0.0
alpes-de-haute-provence,Rassemblement National,0.07,0.0,0.83,0.1,0.0
hautes-alpes,Renaissance,0.0,0.0,0.06,0.94,0.0
alpes-maritimes,Rassemblement National,0.02,0.0,0.93,0.05,0.0
ardeche,Rassemblement National,0.0,0.0,0.97,0.03,0.0
ardennes,Rassemblement National,0.0,0.0,0.95,0.05,0.0
ariege,La France insoumise,0.83,0.0,0.14,0.03,0.0
aube,Rassemblement National,0.0,0.0,1.0,0.0,0.0
aude,Rassemblement National,0.0,0.0,1.0,0.0,0.0
aveyron,Renaissance,0.0,0.01,0.0,0.99,0.0
bouches-du-rhone,Rassemblement National,0.02,0.0,0.94,0.04,0.0
calvados,Renaissance,0.0,0.01,0.22,0.77,0.0
cantal,Renaissance,0.0,0.01,0.19,0.75,0.05
charente,Renaissance,0.0,0.0,0.25,0.75,0.0
charente-maritime,Rassemblement National,0.01,0.03,0.69,0.27,0.0
cher,Rassemblement National,0.0,0.01,0.85,0.14,0.0
correze,Renaissance,0.0,0.0,0.11,0.89,0.0
cote-d'or,Renaissance,0.0,0.0,0.01,0.99,0.0
cotes-d'armor,Renaissance,0.01,0.0,0.04,0.95,0.0
creuse,Rassemblement National,0.04,0.0,0.71,0.24,0.01
dordogne,Rassemblement National,0.0,0.0,0.88,0.12,0.0
doubs,Renaissance,0.0,0.0,0.3,0.7,0.0
drome,Renaissance,0.0,0.0,0.35,0.65,0.0
eure,Rassemblement National,0.0,0.02,0.94,0.04,0.0
